# OBodyNGWeight archetype table — tweak WEIGHTS and SHAPE without recompiling.
# Edit values, save, restart the game. Blank cell = keep built-in. Unknown name = ignored.
# Columns are 0-100 slider space; dWaist>0 = cinched (narrower), <0 = wider. weight = how
# often the archetype is rolled (relative). Tuned to Albert's curvy/slim-thick family.
name,weight,frameBias,frameScale,dBreasts,dButt,dHips,dThighs,dBelly,dWaist,dArms,dShoulders,toneBias,intensityBias
Balanced,3.0,0.0,1.00,0,0,0,0,0,5,0,0,0,0.00
Rectangle,1.0,0.0,0.95,-6,-8,-8,-4,0,-12,0,14,8,-0.03
Slim,1.0,-12.0,0.90,-8,-6,-6,-6,0,0,-4,-4,5,-0.05
Pear,11.0,2.0,1.00,-8,22,26,20,0,12,0,-16,0,0.00
TopHeavy,1.0,2.0,1.00,26,-8,-10,-6,0,8,0,14,0,0.00
Hourglass,8.0,4.0,1.00,20,18,20,8,0,40,0,2,0,0.04
Voluptuous,7.0,14.0,1.00,18,18,12,10,0,18,4,4,0,0.12
AppleSoft,3.0,8.0,1.00,8,4,6,8,35,-10,14,6,0,0.05
BBW,5.0,18.0,1.00,24,24,20,22,30,0,20,10,0,0.18
Athletic,2.0,-4.0,0.95,0,8,0,6,-5,14,-2,18,55,0.00
AthleticCurvy,7.0,2.0,1.00,12,18,6,10,-6,16,0,10,45,0.00
Obese,1.0,24.0,1.00,20,20,18,28,70,-15,30,12,0,0.22
Stocky,1.0,6.0,0.85,-4,16,20,20,6,-8,10,22,25,0.05
Petite,1.0,-28.0,0.70,-10,-8,-8,-8,0,0,-6,-16,0,-0.08
Amazon,1.0,22.0,1.00,10,16,14,20,0,10,0,24,65,0.10
Inverted Triangle,1.0,0.0,0.95,10,-14,-16,-12,-4,10,2,26,18,-0.02
Diamond,1.0,8.0,1.00,4,-6,-6,-8,30,-22,6,-14,0,0.06
Spoon,9.0,4.0,1.00,-4,20,30,22,6,18,2,-14,0,0.04
MILF,6.0,10.0,1.00,18,14,18,12,14,20,6,2,0,0.08
Slim Thick,12.0,2.0,1.00,6,26,18,20,-8,35,0,2,25,0.02
Bottom Hourglass,9.0,4.0,1.00,10,24,26,14,0,38,0,-2,0,0.04
Top Hourglass,3.0,4.0,1.00,28,8,6,2,0,38,2,8,0,0.04
Lollipop,1.0,-8.0,0.92,34,-8,-8,-8,-4,18,-4,0,5,0.02
Strongwoman,1.0,18.0,1.00,8,16,14,18,20,-6,18,24,60,0.12
